"","Old","Comp1","Comp2","New","SizeData","LogSize"
"artedidraco_skottsbergi-artedidraconidae","artedidraco_skottsbergi-artedidraconidae",-0.0883195144204048,0.0165867233639739,"Artedidraco skottsbergi",12,2.484906649788
"bathydraco_marri-bathydraconidae","bathydraco_marri-bathydraconidae",0.0013816669590684,0.0321674347039438,"Bathydraco marri",23,3.13549421592915
"chaenocephalus_aceratus-channichthyidae","chaenocephalus_aceratus-channichthyidae",-0.104350366426404,0.00529938396287312,"Chaenocephalus aceratus",72,4.27666611901606
"chaenodraco_wilsoni-channichthyidae","chaenodraco_wilsoni-channichthyidae",0.0722970847252478,0.0657472081896964,"Chaenodraco wilsoni",43,3.76120011569356
"champsocephalus_gunnari-channichthyidae","champsocephalus_gunnari-channichthyidae",0.00124633058511607,-0.0669813386979801,"Champsocephalus gunnari",66,4.18965474202643
"chiondraco_myersi-channichthyidae","chiondraco_myersi-channichthyidae",0.06446593729431,0.0724361231069063,"Chionodraco myersi",39.2000007629395,3.66867676625916
"chionobathyscus_dewitti-channichthyidae","chionobathyscus_dewitti-channichthyidae",-0.0897166589382622,0.0635767652535651,"Chionobathyscus dewitti",60,4.0943445622221
"chionodraco_rastrospinosus-channichthyidae","chionodraco_rastrospinosus-channichthyidae",0.0657174778886161,0.0707756222014948,"Chionodraco rastrospinosus",52,3.95124371858143
"cryodraco_antarcticus-channichthyidae","cryodraco_antarcticus-channichthyidae",-0.0989394643560075,0.0178550063188819,"Cryodraco antarcticus",48.7,3.88567903008854
"gerlachea_australis-artedidraconidae","gerlachea_australis-artedidraconidae",-0.045267563846706,-0.00332022622509269,"Gerlachea australis",22,3.09104245335832
"harpagifer_antarcticus-harpagiferidae","harpagifer_antarcticus-harpagiferidae",0.0124788742342753,-0.0202991802174671,"Harpagifer antarcticus",9.5,2.2512917986065
"histiodraco_velifer-artedidraconidae","histiodraco_velifer-artedidraconidae",0.024452443209809,-0.0428198609175649,"Histiodraco velifer",20.8999996185303,3.03974914071863
"lepi_lars-trematominae","lepi_lars-trematominae",0.00214333509275651,-0.0507584455804038,"Nototheniops larseni",24,3.17805383034795
"lepi_nudi-trematominae","lepi_nudi-trematominae",-0.00759413569040375,-0.0195279767457444,"Nototheniops nudifrons",19.5,2.9704144655697
"lepi_squa-trematominae","lepi_squa-trematominae",0.0542201129269247,0.0576874560497849,"Lepidonotothen squamifrons",55,4.00733318523247
"notothenia_corriceps-nototheniidae","notothenia_corriceps-nototheniidae",0.0180323020982553,-0.0153011344501963,"Notothenia coriiceps",62,4.12713438504509
"pagetopsis_macropterus-channichthyidae","pagetopsis_macropterus-channichthyidae",0.0418610833905182,0.0415045310125383,"Pagetopsis macropterus",33,3.49650756146648
"pogonophryne_barsukovi-artedidraconidae","pogonophryne_barsukovi-artedidraconidae",-0.0755033141432021,-0.00923791025868362,"Pogonophryne barsukovi",25,3.2188758248682
"pogonophryne_marmorata-artedidraconidae","pogonophryne_marmorata-artedidraconidae",0.015187459777292,0.00338177709174856,"Pogonophryne marmorata",21,3.04452243772342
"pogonophryne_scotti-artedidraconidae","pogonophryne_scotti-artedidraconidae",-0.0377754455026097,0.0411204756684732,"Pogonophryne scotti",31,3.43398720448515
"prionodraco_evansii-artedidraconidae","prionodraco_evansii-artedidraconidae",-0.021638394891644,0.0253970814018399,"Prionodraco evansii",15.5,2.7408400239252
"pseudochaenichthys_georgianus-channichthyidae","pseudochaenichthys_georgianus-channichthyidae",-0.0760180778001216,0.0695417463832045,"Pseudochaenichthys georgianus",60,4.0943445622221
"racovitzia_glacialis-artedidraconidae","racovitzia_glacialis-artedidraconidae",-0.00346610442264082,0.00615712194759615,"Racovitzia glacialis",27.1000003814697,3.29953374196203
"trematomus_bernacchii-trematominae","trematomus_bernacchii-trematominae",0.0627519048257577,-0.0370593078618007,"Trematomus bernacchii",28,3.3322045101752
"trematomus_eulepidotus-trematominae","trematomus_eulepidotus-trematominae",0.032163307629705,-0.0426411274567015,"Trematomus eulepidotus",34.5,3.54095932403731
"trematomus_hansoni-trematominae","trematomus_hansoni-trematominae",0.0705353252736761,-0.0303855429073558,"Trematomus hansoni",41,3.71357206670431
"trematomus_loenbergii-trematominae","trematomus_loenbergii-trematominae",0.0335860788195659,-0.0372876762198375,"Trematomus loennbergii",30,3.40119738166216
"trematomus_newnesi-trematominae","trematomus_newnesi-trematominae",0.0312107264887379,-0.0111890179391561,"Trematomus newnesi",20,2.99573227355399
"trematomus_nicolai-trematominae","trematomus_nicolai-trematominae",0.0348067558653566,-0.0475107774080394,"Trematomus nicolai",36,3.58351893845611
"trematomus_pennelii-trematominae","trematomus_pennelii-trematominae",0.0462117184853298,-0.0495483040677577,"Trematomus pennellii",29.7000007629395,3.39114707149685
"trematomus_scotti-trematominae","trematomus_scotti-trematominae",-0.00234636269885857,-0.0430764024086707,"Trematomus scotti",24.7000007629395,3.20680327452217
"trematomus_tokarevi-trematominae","trematomus_tokarevi-trematominae",0.0304755517915783,-0.04500233724274,"Trematomus tokarevi",22.3999996185303,3.1090609418311
